ERROR [2023-09-07 11:58:38] Data quality issues !
      verb redux_fn                                            predicate
148 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
149 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
150 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
151 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
152 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
153 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
154 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
155 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
156 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
157 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
158 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
159 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
160 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
161 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
162 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
163 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
164 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
165 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
166 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
167 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
168 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
169 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
170 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
171 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
172 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
173 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
174 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
175 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
176 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
177 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
178 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
179 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
180 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
181 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
182 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
183 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
184 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
185 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
186 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
187 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
188 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
189 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
190 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
191 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
192 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
193 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
194 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
195 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
196 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
197 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
198 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
199 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
200 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
201 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
202 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
203 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
204 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
205 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
206 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
207 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
208 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
209 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
210 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
211 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
212 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
213 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
214 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
215 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
216 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
217 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
218 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
219 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
220 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
221 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
222 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
223 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
224 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
225 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
226 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
227 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
228 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
229 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
230 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
231 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
232 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
233 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
234 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
235 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
236 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
237 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
238 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
239 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
240 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
241 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
242 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
243 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
244 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
245 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
246 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
247 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
248 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
249 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
250 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
251 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
252 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
253 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
254 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
255 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
256 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
257 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
258 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
259 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
260 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
261 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
262 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
263 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
264 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
265 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
266 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
267 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
268 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
269 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
270 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
271 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
272 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
273 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
274 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
275 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
276 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
277 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
278 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
279 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
280 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
281 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
282 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
283 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
284 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
285 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
286 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
287 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
288 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
289 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
290 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
291 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
292 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
293 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
294 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
295 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
296 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
297 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
298 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
299 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
300 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
301 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
302 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
303 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
304 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
305 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
306 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
307 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
308 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
309 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
310 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
311 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
312 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
313 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
314 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
315 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
316 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
317 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
318 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
319 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
320 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
321 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
322 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
323 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
324 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
325 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
326 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
327 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
328 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
329 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
330 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
331 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
332 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
333 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
334 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
335 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
336 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
337 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
338 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
339 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
340 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
341 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
342 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
343 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
344 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
345 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
346 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
347 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
348 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
349 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
350 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
351 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
352 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
353 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
354 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
355 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
356 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
357 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
358 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
359 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
360 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
361 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
362 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
363 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
364 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
365 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
366 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
367 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
368 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
369 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
370 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
371 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
372 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
373 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
374 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
375 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
376 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
377 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
378 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
379 assert       NA within_bounds(lowerb, upperb, includelow, includeup)
